row_id,split
CR00000,test
CR00001,validation
CR00002,train
CR00003,train
CR00004,test
CR00005,validation
CR00006,train
CR00007,test
CR00008,train
CR00009,train
CR00010,train
CR00011,train
CR00012,train
CR00013,test
CR00014,train
CR00015,train
CR00016,test
CR00017,train
CR00018,validation
CR00019,train
CR00020,train
CR00021,train
CR00022,validation
CR00023,train
CR00024,train
CR00025,validation
CR00026,train
CR00027,test
CR00028,test
CR00029,test
CR00030,validation
CR00031,train
CR00032,test
CR00033,validation
CR00034,train
CR00035,train
CR00036,train
CR00037,validation
CR00038,train
CR00039,train
CR00040,train
CR00041,train
CR00042,validation
CR00043,train
CR00044,validation
CR00045,test
CR00046,validation
CR00047,test
CR00048,train
CR00049,test
CR00050,train
CR00051,validation
CR00052,test
CR00053,train
CR00054,validation
CR00055,train
CR00056,train
CR00057,train
CR00058,train
CR00059,train
CR00060,train
CR00061,test
CR00062,train
CR00063,train
CR00064,test
CR00065,train
CR00066,train
CR00067,test
CR00068,train
CR00069,train
CR00070,train
CR00071,test
CR00072,train
CR00073,validation
CR00074,train
CR00075,train
CR00076,train
CR00077,train
CR00078,train
CR00079,test
CR00080,train
CR00081,train
CR00082,train
CR00083,validation
CR00084,validation
CR00085,test
CR00086,validation
CR00087,train
CR00088,train
CR00089,validation
CR00090,validation
CR00091,train
CR00092,validation
CR00093,test
CR00094,train
CR00095,train
CR00096,train
CR00097,train
CR00098,train
CR00099,train
CR00100,test
CR00101,train
CR00102,train
CR00103,train
CR00104,test
CR00105,train
CR00106,train
CR00107,train
CR00108,validation
CR00109,train
CR00110,test
CR00111,train
CR00112,train
CR00113,train
CR00114,test
CR00115,train
CR00116,train
CR00117,train
CR00118,train
CR00119,train
CR00120,test
CR00121,train
CR00122,test
CR00123,train
CR00124,test
CR00125,test
CR00126,train
CR00127,train
CR00128,test
CR00129,train
CR00130,test
CR00131,train
CR00132,train
CR00133,train
CR00134,test
CR00135,validation
CR00136,validation
CR00137,train
CR00138,train
CR00139,test
CR00140,test
CR00141,train
CR00142,train
CR00143,train
CR00144,train
CR00145,validation
CR00146,validation
CR00147,train
CR00148,train
CR00149,train
CR00150,test
CR00151,validation
CR00152,test
CR00153,validation
CR00154,validation
CR00155,train
CR00156,validation
CR00157,train
CR00158,train
CR00159,train
CR00160,train
CR00161,train
CR00162,validation
CR00163,train
CR00164,train
CR00165,train
CR00166,train
CR00167,validation
CR00168,train
CR00169,train
CR00170,train
CR00171,validation
CR00172,train
CR00173,train
CR00174,train
CR00175,train
CR00176,validation
CR00177,validation
CR00178,validation
CR00179,validation
CR00180,train
CR00181,test
CR00182,train
CR00183,validation
CR00184,train
CR00185,test
CR00186,train
CR00187,validation
CR00188,validation
CR00189,train
CR00190,train
CR00191,test
CR00192,test
CR00193,train
CR00194,train
CR00195,train
CR00196,train
CR00197,train
CR00198,test
CR00199,validation
CR00200,train
CR00201,train
CR00202,test
CR00203,test
CR00204,train
