row_id,state,district,crop,season,year,area,production,yield_t_ha
WB_R00000,West Bengal,Paraganas North,Rice,Autumn,1997,15017.0,33840,2.25
WB_R00001,West Bengal,Paraganas North,Rice,Summer,1997,98044.0,269690,2.75
WB_R00002,West Bengal,Paraganas North,Rice,Winter,1997,193202.0,381990,1.98
WB_R00003,West Bengal,Paraganas North,Rice,Autumn,1998,21417.0,45870,2.14
WB_R00004,West Bengal,Paraganas North,Rice,Summer,1998,114251.0,425881,3.73
WB_R00005,West Bengal,Paraganas North,Rice,Winter,1998,199701.0,391190,1.96
WB_R00006,West Bengal,Paraganas North,Rice,Autumn,1999,25760.0,60990,2.37
WB_R00007,West Bengal,Paraganas North,Rice,Summer,1999,112461.0,345460,3.07
WB_R00008,West Bengal,Paraganas North,Rice,Winter,1999,192944.0,423850,2.2
WB_R00009,West Bengal,Paraganas North,Rice,Autumn,2000,28438.0,47660,1.68
WB_R00010,West Bengal,Paraganas North,Rice,Summer,2000,109077.0,341715,3.13
WB_R00011,West Bengal,Paraganas North,Rice,Winter,2000,136439.0,251580,1.84
WB_R00012,West Bengal,Paraganas North,Rice,Autumn,2001,32824.0,75912,2.31
WB_R00013,West Bengal,Paraganas North,Rice,Summer,2001,100153.0,316329,3.16
WB_R00014,West Bengal,Paraganas North,Rice,Winter,2001,198499.0,463190,2.33
WB_R00015,West Bengal,Paraganas North,Rice,Autumn,2002,17781.0,39008,2.19
WB_R00016,West Bengal,Paraganas North,Rice,Summer,2002,88692.0,276560,3.12
WB_R00017,West Bengal,Paraganas North,Rice,Winter,2002,180898.0,436010,2.41
WB_R00018,West Bengal,Paraganas North,Rice,Autumn,2003,13747.0,33482,2.44
WB_R00019,West Bengal,Paraganas North,Rice,Summer,2003,83792.0,265326,3.17
WB_R00020,West Bengal,Paraganas North,Rice,Winter,2003,169933.0,402803,2.37
WB_R00021,West Bengal,Paraganas North,Rice,Autumn,2004,18746.0,42098,2.25
WB_R00022,West Bengal,Paraganas North,Rice,Summer,2004,89345.0,276187,3.09
WB_R00023,West Bengal,Paraganas North,Rice,Winter,2004,157096.0,368303,2.34
WB_R00024,West Bengal,Paraganas North,Rice,Autumn,2005,18148.0,43726,2.41
WB_R00025,West Bengal,Paraganas North,Rice,Summer,2005,96675.0,283954,2.94
WB_R00026,West Bengal,Paraganas North,Rice,Winter,2005,162284.0,389682,2.4
WB_R00027,West Bengal,Paraganas North,Rice,Autumn,2006,17719.0,46279,2.61
WB_R00028,West Bengal,Paraganas North,Rice,Summer,2006,89707.0,271884,3.03
WB_R00029,West Bengal,Paraganas North,Rice,Winter,2006,170626.0,407810,2.39
WB_R00030,West Bengal,Paraganas North,Rice,Autumn,2007,20861.0,44993,2.16
WB_R00031,West Bengal,Paraganas North,Rice,Summer,2007,95528.0,294718,3.09
WB_R00032,West Bengal,Paraganas North,Rice,Winter,2007,157175.0,404941,2.58
WB_R00033,West Bengal,Paraganas North,Rice,Autumn,2008,22083.0,59411,2.69
WB_R00034,West Bengal,Paraganas North,Rice,Summer,2008,95232.0,271409,2.85
WB_R00035,West Bengal,Paraganas North,Rice,Winter,2008,157226.0,406213,2.58
WB_R00036,West Bengal,Paraganas North,Rice,Autumn,2009,18839.0,50488,2.68
WB_R00037,West Bengal,Paraganas North,Rice,Summer,2009,88725.0,276708,3.12
WB_R00038,West Bengal,Paraganas North,Rice,Winter,2009,127578.0,331194,2.6
WB_R00039,West Bengal,Paraganas North,Rice,Autumn,2010,18514.0,42008,2.27
WB_R00040,West Bengal,Paraganas North,Rice,Summer,2010,77633.0,261587,3.37
WB_R00041,West Bengal,Paraganas North,Rice,Winter,2010,127578.0,302957,2.37
WB_R00042,West Bengal,Paraganas North,Rice,Autumn,2011,15789.0,42918,2.72
WB_R00043,West Bengal,Paraganas North,Rice,Summer,2011,71962.0,225593,3.13
WB_R00044,West Bengal,Paraganas North,Rice,Winter,2011,133756.0,329019,2.46
WB_R00045,West Bengal,Paraganas North,Rice,Autumn,2012,13891.0,36080,2.6
WB_R00046,West Bengal,Paraganas North,Rice,Summer,2012,70500.0,249051,3.53
WB_R00047,West Bengal,Paraganas North,Rice,Winter,2012,133093.0,364032,2.74
WB_R00048,West Bengal,Paraganas North,Rice,Autumn,2013,16286.0,46047,2.83
WB_R00049,West Bengal,Paraganas North,Rice,Summer,2013,70880.0,231275,3.26
WB_R00050,West Bengal,Paraganas North,Rice,Winter,2013,131943.0,391081,2.96
WB_R00051,West Bengal,Paraganas North,Rice,Autumn,2014,15876.0,42913,2.7
WB_R00052,West Bengal,Paraganas North,Rice,Summer,2014,70898.0,239229,3.37
WB_R00053,West Bengal,Paraganas North,Rice,Winter,2014,139767.0,401623,2.87
WB_R00054,West Bengal,Paraganas North,Rice,Autumn,2015,17924.0,49687,2.77
WB_R00055,West Bengal,Paraganas North,Rice,Summer,2015,72439.0,240017,3.31
WB_R00056,West Bengal,Paraganas North,Rice,Winter,2015,139946.0,389749,2.78
WB_R00057,West Bengal,Paraganas North,Rice,Autumn,2016,20136.0,54174,2.69
WB_R00058,West Bengal,Paraganas North,Rice,Summer,2016,61123.0,211172,3.45
WB_R00059,West Bengal,Paraganas North,Rice,Winter,2016,143075.0,400528,2.8
WB_R00060,West Bengal,Paraganas North,Rice,Autumn,2017,18561.0,54454,2.93
WB_R00061,West Bengal,Paraganas North,Rice,Summer,2017,63492.0,218404,3.44
WB_R00062,West Bengal,Paraganas North,Rice,Winter,2017,143736.0,417070,2.9
WB_R00063,West Bengal,Paraganas North,Rice,Autumn,2018,19550.0,56300,2.88
WB_R00064,West Bengal,Paraganas North,Rice,Summer,2018,69624.0,249118,3.58
WB_R00065,West Bengal,Paraganas North,Rice,Winter,2018,142463.0,469611,3.3
WB_R00066,West Bengal,Paraganas North,Rice,Autumn,2019,18673.0,56325,3.02
WB_R00067,West Bengal,Paraganas North,Rice,Summer,2019,66443.0,250438,3.77
WB_R00068,West Bengal,Paraganas North,Rice,Winter,2019,142057.0,361028,2.54
WB_R00069,West Bengal,Paraganas South,Rice,Autumn,1997,2409.0,5270,2.19
WB_R00070,West Bengal,Paraganas South,Rice,Summer,1997,54664.0,135730,2.48
WB_R00071,West Bengal,Paraganas South,Rice,Winter,1997,373220.0,494160,1.32
WB_R00072,West Bengal,Paraganas South,Rice,Autumn,1998,4337.0,7600,1.75
WB_R00073,West Bengal,Paraganas South,Rice,Summer,1998,80890.0,241720,2.99
WB_R00074,West Bengal,Paraganas South,Rice,Winter,1998,363033.0,500380,1.38
WB_R00075,West Bengal,Paraganas South,Rice,Autumn,1999,5314.0,10920,2.05
WB_R00076,West Bengal,Paraganas South,Rice,Summer,1999,76997.0,216290,2.81
WB_R00077,West Bengal,Paraganas South,Rice,Winter,1999,373726.0,705620,1.89
WB_R00078,West Bengal,Paraganas South,Rice,Autumn,2000,6927.0,12540,1.81
WB_R00079,West Bengal,Paraganas South,Rice,Summer,2000,83471.0,226170,2.71
WB_R00080,West Bengal,Paraganas South,Rice,Winter,2000,335463.0,628220,1.87
