origin,model,training_max_year,n,MAE,RMSE,R2
2015,median,2014,54,0.5570370370370369,0.6751981876401865,-0.28623875082870276
2015,ridge_trend,2014,54,0.3369830183805245,0.43167752805647175,0.47425162879020943
2015,tree,2014,54,0.38111615748740235,0.45339307456892286,0.4200256083487308
2015,forest,2014,54,0.26385447346684665,0.3767862887146061,0.5994569185993457
2016,median,2015,64,0.50859375,0.6508804133633151,-0.4001884776247977
2016,ridge_trend,2015,64,0.29807003457403836,0.4006343223245358,0.4695060943121553
2016,tree,2015,64,0.32194305098684206,0.4012185237575893,0.4679578432486562
2016,forest,2015,64,0.2707905698685867,0.3691002041124409,0.5497303603754937
2017,median,2016,64,0.5225,0.6620163328800884,-0.40162479340288404
2017,ridge_trend,2016,64,0.2363887163581395,0.2953287726615294,0.7210631553896154
2017,tree,2016,64,0.2793557135861825,0.3450027388227839,0.6193380673681265
2017,forest,2016,64,0.2368113052066833,0.3025010774716452,0.7073502115741157
