row_id,split
WB_R00000,train
WB_R00001,train
WB_R00002,train
WB_R00003,train
WB_R00004,train
WB_R00005,train
WB_R00006,train
WB_R00007,train
WB_R00008,train
WB_R00009,train
WB_R00010,train
WB_R00011,train
WB_R00012,train
WB_R00013,train
WB_R00014,train
WB_R00015,train
WB_R00016,train
WB_R00017,train
WB_R00018,train
WB_R00019,train
WB_R00020,train
WB_R00021,train
WB_R00022,train
WB_R00023,train
WB_R00024,train
WB_R00025,train
WB_R00026,train
WB_R00027,train
WB_R00028,train
WB_R00029,train
WB_R00030,train
WB_R00031,train
WB_R00032,train
WB_R00033,train
WB_R00034,train
WB_R00035,train
WB_R00036,train
WB_R00037,train
WB_R00038,train
WB_R00039,train
WB_R00040,train
WB_R00041,train
WB_R00042,train
WB_R00043,train
WB_R00044,train
WB_R00045,train
WB_R00046,train
WB_R00047,train
WB_R00048,train
WB_R00049,train
WB_R00050,train
WB_R00051,train
WB_R00052,train
WB_R00053,train
WB_R00054,train
WB_R00055,train
WB_R00056,train
WB_R00057,validation
WB_R00058,validation
WB_R00059,validation
WB_R00060,validation
WB_R00061,validation
WB_R00062,validation
WB_R00063,test
WB_R00064,test
WB_R00065,test
WB_R00066,test
WB_R00067,test
WB_R00068,test
WB_R00069,train
WB_R00070,train
WB_R00071,train
WB_R00072,train
WB_R00073,train
WB_R00074,train
WB_R00075,train
WB_R00076,train
WB_R00077,train
WB_R00078,train
WB_R00079,train
WB_R00080,train
WB_R00081,train
WB_R00082,train
WB_R00083,train
WB_R00084,train
WB_R00085,train
WB_R00086,train
WB_R00087,train
WB_R00088,train
WB_R00089,train
WB_R00090,train
WB_R00091,train
WB_R00092,train
WB_R00093,train
WB_R00094,train
WB_R00095,train
WB_R00096,train
WB_R00097,train
WB_R00098,train
WB_R00099,train
WB_R00100,train
WB_R00101,train
WB_R00102,train
WB_R00103,train
WB_R00104,train
WB_R00105,train
WB_R00106,train
WB_R00107,train
WB_R00108,train
WB_R00109,train
WB_R00110,train
WB_R00111,train
WB_R00112,train
WB_R00113,train
WB_R00114,train
WB_R00115,train
WB_R00116,train
WB_R00117,train
WB_R00118,train
WB_R00119,train
WB_R00120,train
WB_R00121,train
WB_R00122,train
WB_R00123,train
WB_R00124,train
WB_R00125,train
WB_R00126,validation
WB_R00127,validation
WB_R00128,validation
WB_R00129,validation
WB_R00130,validation
WB_R00131,validation
WB_R00132,test
WB_R00133,test
WB_R00134,test
WB_R00135,test
WB_R00136,test
WB_R00137,test
WB_R00138,validation
WB_R00139,validation
WB_R00140,validation
WB_R00141,validation
WB_R00142,validation
WB_R00143,validation
WB_R00144,test
WB_R00145,test
WB_R00146,test
WB_R00147,test
WB_R00148,test
WB_R00149,test
WB_R00150,train
WB_R00151,train
WB_R00152,train
WB_R00153,train
WB_R00154,train
WB_R00155,train
WB_R00156,train
WB_R00157,train
WB_R00158,train
WB_R00159,train
WB_R00160,train
WB_R00161,train
WB_R00162,train
WB_R00163,train
WB_R00164,train
WB_R00165,train
WB_R00166,train
WB_R00167,train
WB_R00168,train
WB_R00169,train
WB_R00170,train
WB_R00171,train
WB_R00172,train
WB_R00173,train
WB_R00174,train
WB_R00175,train
WB_R00176,train
WB_R00177,train
WB_R00178,train
WB_R00179,train
WB_R00180,train
